Date,Event,Category,Time,Location,Audience,SQF_Dimension,Notes
2024-08-12,Staff Professional Development Week Begins,Professional Development,8:00 AM - 3:30 PM,School Building,All Staff,Talent,5 days of PD before students arrive
2024-08-19,First Day of School - Students,Operations,8:15 AM - 3:15 PM,School Building,All Students,Operations,Staggered start: K-2 only on 8/19; all grades 8/20
2024-08-22,Back to School Night,External Engagement,5:30 PM - 7:30 PM,School Building,All Families,External Engagement,Meet teachers and learn about curriculum. Childcare and interpreters provided.
2024-09-02,Labor Day - No School,Operations,N/A,N/A,All,Operations,
2024-09-12,Title I Annual Parent Meeting,External Engagement,6:00 PM - 7:00 PM,Cafeteria,All Families,External Engagement,Required annual meeting. School improvement plan shared.
2024-09-18,Board Meeting,Governance,6:00 PM - 8:00 PM,Conference Room,Board/Public,Governance,Monthly board meeting. Annual report to community.
2024-09-20,School Picture Day,Operations,8:30 AM - 12:00 PM,Gymnasium,All Students,Operations,
2024-10-07,CRT Professional Development Session 1,Professional Development,3:45 PM - 6:15 PM,Cafeteria,All Staff,Student Culture,Culturally Responsive Teaching series with Dr. Amina Hassan
2024-10-14,MAP Fall Testing Window Opens,Academic Program,All Day,Classrooms,Grades 2-8,Academic Program,Testing window: Oct 14-25
2024-10-16,Board Meeting,Governance,6:00 PM - 8:00 PM,Conference Room,Board/Public,Governance,Q1 academic data review
2024-10-19,Fall Gala: Innovation Night,External Engagement,6:00 PM - 10:00 PM,Summit Brewing Event Center,Community/Donors,External Engagement,Annual fundraising gala. $43K raised.
2024-10-28,Parent-Teacher Conferences,External Engagement,4:00 PM - 8:00 PM,Classrooms,All Families,External Engagement,Evening conferences. No school Oct 29 (comp day).
2024-10-29,Parent-Teacher Conferences / No School for Students,External Engagement,8:00 AM - 3:00 PM,Classrooms,All Families,External Engagement,Daytime conferences.
2024-11-01,End of Quarter 1,Academic Program,N/A,N/A,All,Academic Program,Report cards distributed Nov 8
2024-11-04,CRT Professional Development Session 2,Professional Development,3:45 PM - 6:15 PM,Cafeteria,All Staff,Student Culture,
2024-11-14,Wellness Committee Meeting,Operations,3:45 PM - 4:45 PM,Media Center,Committee,Operations,
2024-11-15,Donor Appreciation Breakfast,External Engagement,7:30 AM - 9:00 AM,Cafeteria,Donors,External Engagement,
2024-11-20,Board Meeting,Governance,6:00 PM - 8:00 PM,Conference Room,Board/Public,Governance,Facility assessment review
2024-11-21,Give to the Max Day,External Engagement,All Day,Online,Community,External Engagement,Minnesota giving day. $5200 raised.
2024-11-25,ELL Family Night,External Engagement,5:30 PM - 7:30 PM,Cafeteria,ELL Families,External Engagement,42 families attended. Multilingual.
2024-11-27,Thanksgiving Break Begins (Early Release 12:00 PM),Operations,12:00 PM,N/A,All,Operations,No school Nov 28-29
2024-12-02,SEL Mid-Year Check-In PD,Professional Development,3:45 PM - 5:15 PM,Cafeteria,All Staff,Student Culture,Panorama data review
2024-12-12,Winter Concert,Student Culture,6:00 PM - 7:30 PM,Gymnasium,All Families,Student Culture,K-4 and 5-8 performances
2024-12-18,Board Meeting,Governance,6:00 PM - 8:00 PM,Conference Room,Board/Public,Governance,
2024-12-20,Last Day Before Winter Break (Early Release 12:00 PM),Operations,12:00 PM,N/A,All,Operations,
2025-01-06,School Resumes / Staff PD Day (No Students),Professional Development,8:00 AM - 3:30 PM,School Building,All Staff,Academic Program,Mid-year data review day
2025-01-07,Students Return,Operations,8:15 AM,School Building,All Students,Operations,
2025-01-13,CRT Professional Development Session 3,Professional Development,3:45 PM - 6:15 PM,Cafeteria,All Staff,Student Culture,
2025-01-15,Board Meeting,Governance,6:00 PM - 8:00 PM,Conference Room,Board/Public,Governance,Mid-year academic report
2025-01-17,End of Quarter 2 / End of Semester 1,Academic Program,N/A,N/A,All,Academic Program,Report cards distributed Jan 24
2025-01-20,Martin Luther King Jr. Day - No School,Operations,N/A,N/A,All,Operations,Staff day of service optional
2025-01-22,Student Focus Group (Middle School),Leadership,12:15 PM - 12:55 PM,Media Center,Selected Students,Leadership,Student voice for school improvement
2025-01-27,MAP Winter Testing Window Opens,Academic Program,All Day,Classrooms,Grades 2-8,Academic Program,Testing window: Jan 27 - Feb 7
2025-02-10,Trauma-Informed Practices PD,Professional Development,3:45 PM - 5:45 PM,Cafeteria,All Staff,Student Culture,Dr. Lisa Chen facilitator
2025-02-12,Board Meeting,Governance,6:00 PM - 8:00 PM,Conference Room,Board/Public,Governance,Fundraising mid-year report
2025-02-13,Wellness Committee Meeting,Operations,3:45 PM - 4:45 PM,Media Center,Committee,Operations,
2025-02-17,Presidents Day - No School,Operations,N/A,N/A,All,Operations,
2025-02-24,Writing Across the Curriculum PD,Professional Development,3:45 PM - 5:45 PM,Cafeteria,Grades 5-8 Teachers,Academic Program,
2025-03-06,Parent-Teacher Conferences,External Engagement,4:00 PM - 8:00 PM,Classrooms,All Families,External Engagement,Spring conferences
2025-03-07,Parent-Teacher Conferences / No School for Students,External Engagement,8:00 AM - 3:00 PM,Classrooms,All Families,External Engagement,
2025-03-10,CRT Professional Development Session 4,Professional Development,3:45 PM - 6:15 PM,Cafeteria,All Staff,Student Culture,Final session - teacher presentations
2025-03-14,End of Quarter 3,Academic Program,N/A,N/A,All,Academic Program,Report cards distributed Mar 21
2025-03-19,Board Meeting / Board Retreat,Governance,4:00 PM - 8:00 PM,Off-site,Board,Governance,Strategic plan mid-cycle review
2025-03-24,Spring Break Begins,Operations,N/A,N/A,All,Operations,No school Mar 24-28
2025-04-07,MCA Testing Window Opens,Academic Program,All Day,Classrooms,Grades 3-8,Academic Program,State assessments through April 25
2025-04-12,PTA Spring Carnival,External Engagement,11:00 AM - 3:00 PM,School Grounds,All Families,External Engagement,Annual community event
2025-04-16,Board Meeting,Governance,6:00 PM - 8:00 PM,Conference Room,Board/Public,Governance,Enrollment and budget planning
2025-05-05,Teacher Appreciation Week,Talent,All Week,School Building,All Staff,Talent,PTA-organized appreciation activities
2025-05-12,End-of-Year Data Review PD,Professional Development,3:45 PM - 6:45 PM,Cafeteria,All Staff,Academic Program,MAP Spring data and year reflection
2025-05-15,PBL Showcase,Academic Program,5:30 PM - 7:30 PM,School Building,All Families/Community,Academic Program,Student project presentations. Major community event.
2025-05-19,MAP Spring Testing Window Opens,Academic Program,All Day,Classrooms,Grades 2-8,Academic Program,Testing window: May 19-30
2025-05-21,Board Meeting,Governance,6:00 PM - 8:00 PM,Conference Room,Board/Public,Governance,Budget approval for 2025-26
2025-05-26,Memorial Day - No School,Operations,N/A,N/A,All,Operations,
2025-05-30,End of Quarter 4 / Last Day of School (Early Release),Operations,12:00 PM,School Building,All,Operations,Report cards mailed June 6
2025-06-02,8th Grade Graduation,Student Culture,6:00 PM - 7:30 PM,Gymnasium,8th Grade Families,Student Culture,
2025-06-03,Staff Work Day / Year-End Celebration,Talent,8:00 AM - 1:00 PM,School Building,All Staff,Talent,Closeout and celebration
2025-06-16,YMCA Summer Camp Begins,Operations,8:00 AM - 4:00 PM,School Building,Registered Students,Student Culture,4-week program through July 11