Grade,Teacher,Total_Students,Conferences_Scheduled,Conferences_Attended,Attendance_Rate,Virtual_Conferences,In_Person_Conferences,No_Show,Rescheduled,Interpreter_Needed,Interpreter_Language,Avg_Conference_Length_Min,Notes
K,Ms. Thompson,22,22,21,95.5%,3,18,1,1,2,Spanish,18,Strong parent engagement. One family unable to attend due to work conflict - phone conference held following week.
K,Ms. Larson,21,21,20,95.2%,4,16,1,0,1,Somali,17,Excellent turnout. Used student-led portfolio sharing for first time - very well received by families.
1,Ms. Patel,23,23,21,91.3%,5,16,2,2,1,Spanish,16,Two families with transportation barriers - offered virtual option which worked well.
1,Mr. Andersen,22,22,20,90.9%,3,17,2,1,0,,15,Good conversations about reading progress. Two no-shows were families we've had difficulty reaching all year.
2,Ms. Chen,24,24,22,91.7%,4,18,2,1,3,Spanish (2) Hmong (1),19,Interpreter scheduling was challenging - need to book earlier next time.
2,Ms. Okoye,23,23,22,95.7%,5,17,1,1,1,Spanish,17,Highest turnout among 2nd grade. Ms. Okoye sends personal video invitations which families appreciate.
3,Mr. Davis,25,25,22,88.0%,3,19,3,2,1,Somali,16,Three no-shows from families who also missed Back to School Night. Family liaison following up.
3,Ms. Williams,24,24,23,95.8%,6,17,1,0,2,Spanish (1) Karen (1),20,Extended conferences for 3 students with IEPs. Karen interpreter had to be arranged through external agency.
4,Ms. Rodriguez,26,26,23,88.5%,4,19,3,1,0,,15,Some 4th grade parents mentioned they feel less connected as kids get older. Discussed ways to stay involved.
4,Mr. Kim,25,25,22,88.0%,5,17,3,2,1,Spanish,16,Behavior concerns were primary topic for several conferences. Co-led 2 conferences with school counselor.
5,Ms. Johnson,27,27,23,85.2%,6,17,4,2,1,Somali,15,Lower attendance in upper elementary is a trend. Will try student-led conferences in spring to boost engagement.
5,Mr. Garcia,26,26,22,84.6%,5,17,4,3,2,Spanish,14,Several conferences focused on middle school transition preparation. 4 no-shows despite multiple contact attempts.
6,Ms. Nkomo,28,28,22,78.6%,7,15,6,3,1,Spanish,14,Significant drop in attendance from elementary. Piloting online scheduling tool seemed to help for some families.
6,Mr. Park,27,27,21,77.8%,8,13,6,2,2,Somali (1) Spanish (1),13,Virtual option was popular with middle school parents. Several requested email updates instead of conferences.
7,Ms. Taylor,28,28,20,71.4%,6,14,8,4,1,Spanish,13,Lowest attendance among 7th grade. Many families said student reported everything was fine. Need better pre-conference communication.
7,Mr. Hernandez,27,27,21,77.8%,7,14,6,3,2,Somali (1) Oromo (1),14,Offered evening conference slot which helped working families. Oromo interpreter was difficult to find - used phone interpretation service.
8,Ms. Adeyemi,26,26,19,73.1%,5,14,7,3,1,Spanish,12,8th grade attendance continues to decline. Focus on high school transition planning helped bring some families in.
8,Mr. Foster,25,25,18,72.0%,6,12,7,2,0,,12,Lowest overall attendance. Tried student-led conference format for willing students - the 4 who participated had much more engaged parent conversations.
SpEd K-4,Ms. Walsh,30,30,28,93.3%,5,23,2,2,4,Spanish (2) Somali (1) Karen (1),25,IEP families generally have higher attendance. Longer conferences due to IEP goal review. 4 conferences required interpreters.
SpEd 5-8,Mr. Hernandez D.,28,28,25,89.3%,6,19,3,2,3,Spanish (2) Somali (1),22,Combined IEP progress review with conference when possible to reduce family visits. Well received.
ELL,Ms. Xiong,18,18,16,88.9%,4,12,2,2,6,Hmong (2) Spanish (2) Somali (1) Karen (1),20,All conferences offered in home language. Bilingual staff assisted with 3 conferences. External interpreters for 3.