Date,Session_Title,Facilitator,Format,Duration_Hours,Target_Audience,Attendance_Count,Total_Eligible,SQF_Dimension,Topic_Category,Description,Follow_Up_Action
2024-08-12,Welcome Back and Vision Setting,Dr. Angela Rivera,Whole Staff,3.0,All Staff,42,42,Leadership,Culture,"Opening day session reviewing school mission, strategic plan progress, and 2024-25 priorities. Staff engaged in gallery walk of student achievement data and set team goals.",Grade-level teams develop SMART goals by Aug 19
2024-08-13,Curriculum Alignment Workshop - ELA,Sarah Mitchell (Instructional Coach),Department Teams,4.0,ELA Teachers K-8,12,12,Academic Program,Curriculum,"Deep dive into updated ELA scope and sequence. Teachers mapped units to state standards and identified cross-grade vertical alignment opportunities.",Teachers submit unit plans for Q1 by Aug 23
2024-08-14,Curriculum Alignment Workshop - Math,James Okafor (Instructional Coach),Department Teams,4.0,Math Teachers K-8,11,11,Academic Program,Curriculum,"Math curriculum alignment session focused on new supplementary materials adopted for grades 6-8. Problem-solving routine protocols introduced.",Implement weekly problem-solving routines starting Sept
2024-08-15,Restorative Practices Refresher,Dr. Marcus Webb (External),Whole Staff,3.0,All Staff,41,42,Student Culture,SEL/Behavior,"Annual refresher on restorative practices framework. New staff received foundational training while returning staff explored advanced circle facilitation techniques.",Each teacher facilitates one community circle by Sept 15
2024-08-16,Technology Tools for Differentiation,Kevin Park (Tech Specialist),Whole Staff,2.0,All Staff,40,42,Academic Program,Technology,"Training on new adaptive learning platforms (DreamBox and Lexia) plus updates to Google Classroom features for the new school year.",Complete platform setup for all classes by Aug 30
2024-09-09,Data-Driven Instruction Cycle 1,Sarah Mitchell,Grade-Level Teams,2.0,Classroom Teachers,28,28,Academic Program,Assessment,"First data meeting of the year using MAP Fall assessment results. Teachers analyzed class and student-level data to form flexible groups.",Flexible grouping plans submitted to coaches by Sept 16
2024-09-23,Special Education Compliance Update,Maria Santos (SpEd Coordinator),SpEd Team,1.5,SpEd Staff,6,6,Academic Program,Special Populations,"Review of updated IEP documentation requirements and timeline compliance. Introduction of new progress monitoring tools.",IEP timeline audit completed by Oct 1
2024-10-07,Culturally Responsive Teaching - Session 1,Dr. Amina Hassan (External),Whole Staff,2.5,All Staff,39,42,Student Culture,Equity,"First session of four-part series on culturally responsive pedagogy. Focus on self-reflection and understanding cultural identity in the classroom.",Complete cultural autobiography assignment by Oct 21
2024-10-14,Formative Assessment Strategies,James Okafor,K-4 Teachers,1.5,K-4 Classroom Teachers,15,16,Academic Program,Assessment,"Workshop on high-leverage formative assessment techniques including exit tickets, strategic questioning, and student self-assessment protocols.",Implement two new formative strategies and bring student work to Nov meeting
2024-10-21,Parent Conference Preparation,Counseling Team,Whole Staff,1.0,All Staff,42,42,External Engagement,Family Engagement,"Best practices for parent-teacher conferences with focus on strengths-based communication and goal-setting with families.",Conference materials prepared by Oct 28
2024-11-04,Culturally Responsive Teaching - Session 2,Dr. Amina Hassan (External),Whole Staff,2.5,All Staff,38,42,Student Culture,Equity,"Second session focusing on culturally responsive curriculum design. Teachers audited one unit for representation and multiple perspectives.",Revised unit plan with CRT lens due Nov 25
2024-11-18,Intervention Block Optimization,Sarah Mitchell & James Okafor,Intervention Teachers,2.0,Intervention Staff,10,10,Academic Program,Intervention,"Mid-year review of intervention effectiveness. Analyzed progress monitoring data and adjusted groupings. Introduced new phonics intervention for K-2.",Updated intervention groups effective Dec 2
2024-12-02,Social-Emotional Learning Check-In,Counseling Team,Whole Staff,1.5,All Staff,40,42,Student Culture,SEL/Behavior,"Mid-year review of SEL curriculum implementation. Shared Panorama survey results and discussed classroom-level SEL strategies.",Administer student SEL check-in surveys by Dec 13
2024-12-16,Emergency Procedures Drill Debrief,Operations Team,Whole Staff,1.0,All Staff,42,42,Operations,Safety,"Debrief from fall emergency drills including lockdown, fire, and severe weather. Identified areas for improvement in communication protocols.",Updated emergency binder by Jan 6
2025-01-06,Mid-Year Data Review,Dr. Angela Rivera & Coaches,Whole Staff,3.0,All Staff,41,42,Academic Program,Assessment,"Comprehensive mid-year data review including MAP Winter results, attendance data, behavior data, and SEL survey results. Schools set adjusted goals.",Adjusted SMART goals due Jan 13
2025-01-13,Culturally Responsive Teaching - Session 3,Dr. Amina Hassan (External),Whole Staff,2.5,All Staff,37,42,Student Culture,Equity,"Third session focusing on creating inclusive classroom environments. Teachers practiced strategies for facilitating difficult conversations about race and identity.",Implement one new inclusive practice and journal about it for 4 weeks
2025-01-27,Differentiation in the Math Classroom,James Okafor,Math Teachers,2.0,Math Teachers K-8,11,11,Academic Program,Instruction,"Advanced differentiation strategies for math instruction. Focus on parallel tasks, open-middle problems, and tiered assignments.",Try parallel tasks in at least one unit and bring student work to March meeting
2025-02-10,Trauma-Informed Practices,Dr. Lisa Chen (External),Whole Staff,2.0,All Staff,40,42,Student Culture,SEL/Behavior,"Training on recognizing and responding to trauma in school settings. Specific strategies for creating predictable, safe classroom environments.",Review classroom routines through trauma-informed lens
2025-02-24,Writing Across the Curriculum,Sarah Mitchell,5-8 Teachers,2.0,5-8 Classroom Teachers,12,12,Academic Program,Curriculum,"Workshop on embedding meaningful writing tasks across all content areas in middle grades. Shared exemplar writing assignments and rubrics.",Implement one cross-curricular writing assignment by March 21
2025-03-10,Culturally Responsive Teaching - Session 4,Dr. Amina Hassan (External),Whole Staff,2.5,All Staff,39,42,Student Culture,Equity,"Final session. Teachers presented culturally responsive unit redesigns. Peer feedback protocol used. Discussion of sustaining CRT practices long-term.",Complete CRT self-assessment by March 24
2025-03-17,Data-Driven Instruction Cycle 3,Instructional Coaches,Grade-Level Teams,2.0,Classroom Teachers,27,28,Academic Program,Assessment,"Third data cycle meeting using formative assessment data and progress monitoring. Focus on students not yet meeting growth targets.",Targeted tutoring plans for identified students by March 24
2025-03-31,Special Education Best Practices Sharing,Maria Santos,SpEd and Gen Ed,1.5,SpEd and Partner Teachers,14,16,Academic Program,Special Populations,"Collaborative session on co-teaching models and inclusive practices. SpEd and gen ed teacher pairs shared successful strategies.",Co-teaching pair check-ins scheduled for April
2025-04-14,Spring Assessment Preparation,Instructional Coaches,Whole Staff,1.5,Classroom Teachers,28,28,Academic Program,Assessment,"Preparation for MCA state assessments. Review of testing protocols, accommodations, and strategies for reducing student test anxiety.",Testing schedules and accommodation plans finalized by April 21
2025-04-28,Project-Based Learning Showcase Prep,Grade-Level Leaders,All Teachers,2.0,Classroom Teachers,28,28,Academic Program,Instruction,"Planning session for annual PBL Showcase. Teachers finalized project timelines, rubrics, and community presentation logistics.",PBL projects launched in all classrooms by May 5
2025-05-12,End-of-Year Data Review and Reflection,Dr. Angela Rivera & Coaches,Whole Staff,3.0,All Staff,42,42,Leadership,Assessment,"Comprehensive end-of-year data review. Teachers reflected on goal progress and began identifying summer PD priorities for 2025-26.",Individual PD reflection forms due May 19
2025-05-19,Summer Planning and Celebration,Dr. Angela Rivera,Whole Staff,2.0,All Staff,42,42,Leadership,Culture,"End-of-year celebration and recognition. Preview of summer work including curriculum writing teams and facility improvements. Staff appreciation.",Volunteer for summer curriculum teams by May 23