Goal_Number,SQF_Dimension,Goal_Statement,Metric,Baseline_Value,Mid_Year_Target,End_Year_Target,Mid_Year_Actual,Status,Lead_Person,Key_Strategies,Mid_Year_Notes
1,Academic Program (2A),Increase the percentage of students meeting MAP reading growth projections from 58% to 68% school-wide.,% students meeting MAP reading growth projection,58% (Spring 2024),62%,68%,62%,On Track,Sarah Mitchell (Literacy Coach),"1. Implement structured guided reading block K-5; 2. Launch Newsela nonfiction reading initiative 3-8; 3. Increase Lexia Core5 usage to 3x/week; 4. Monthly data meetings with grade-level teams",Mid-year target met exactly at 62%. K-4 showing stronger growth (65%) than 5-8 (58%). Lexia usage has been inconsistent in some classrooms - need to reinforce expectations. Newsela adoption in middle school is going well.
2,Academic Program (2A),Increase the percentage of students meeting MAP math growth projections from 52% to 62% school-wide.,% students meeting MAP math growth projection,52% (Spring 2024),56%,62%,55%,On Track,James Okafor (STEM Coach),"1. Implement daily number talks K-5; 2. Adopt problem-solving routines 6-8; 3. Increase DreamBox usage to 45 min/week; 4. Targeted algebra readiness intervention in grade 7-8",Mid-year at 55% (target 56%) - close but slightly below. DreamBox usage dropped Oct-Dec and we are re-establishing expectations. Number talks implementation varies by teacher. Grade 7 math remains biggest concern area.
3,Academic Program (2D),Reduce the achievement gap between Black students and White students in ELA proficiency on MCA from 26 points to 20 points.,MCA ELA proficiency gap (Black vs. White students),26 points (Spring 2024),N/A (MCA is annual),20-point gap,N/A - MCA in April,Monitoring,Dr. Rivera / Sarah Mitchell,"1. Culturally responsive teaching PD series (4 sessions); 2. Targeted tutoring for Black students below proficiency; 3. Review and revise curriculum for cultural relevance; 4. Increase representation in texts and materials",CRT PD series on track (3 of 4 sessions complete). MAP winter data shows 23-point gap between Black and White student growth rates - slight improvement from fall. Targeted tutoring launched January for 12 students. Curriculum representation audit complete for ELA - identified gaps being addressed.
4,Student Culture (3D),Improve student sense of belonging on Panorama SEL survey from 3.5 to 3.8 school-wide average (scale 1-5).,Panorama SEL belonging score (school-wide average),3.5 (Spring 2024),3.6,3.8,3.5,Below Target,Counseling Team,"1. Implement weekly advisory/community circles in all grades; 2. Launch peer mediation program in middle school; 3. Increase cultural celebration events; 4. Address LGBTQ+ inclusivity through GSA club",Mid-year score unchanged at 3.5 - below target of 3.6. Middle school scores notably lower (3.1-3.2) pulling down the average. K-4 scores are stronger (3.7-4.2). Peer mediation program not yet launched (delayed). GSA club requested by students but not yet established - this is a priority.
5,Student Culture (3E),Reduce disproportionality in office discipline referrals for Black students from 2.05 risk ratio to 1.5 or below.,Risk ratio for Black student ODRs vs. all students,2.05 (2023-24),1.8,1.5,1.9,Below Target,Dr. Rivera,"1. Implicit bias training for all staff; 2. Weekly referral data review by principal; 3. Restorative practices training to 100% of staff; 4. Implement de-escalation strategies training",Risk ratio improved from 2.05 to 1.9 but not meeting mid-year target of 1.8. Implicit bias training completed December. Weekly referral review is happening and has prompted important conversations. Restorative practices training at 85% of staff (target 100% by May). Defiance/insubordination category remains most disproportionate.
6,Talent (4D),Increase the percentage of teachers rated Proficient or Distinguished on Danielson evaluation from 82% to 90%.,% of teachers rated Proficient or Distinguished,82% (2023-24),85% (mid-year observations),90%,84%,On Track,Dr. Rivera / Instructional Coaches,"1. Intensive coaching for Developing-rated teachers; 2. Peer observation program; 3. Targeted PD based on observation data; 4. Mentor program for new teachers",3 teachers currently rated Developing (2 second-year teachers and 1 first-year). All receiving intensive coaching support. Two are showing growth; one (Mr. Foster) continues to struggle with classroom management. Peer observation program launched with positive feedback.
7,External Engagement (6A),Increase family engagement survey satisfaction score from 4.0 to 4.3 (scale 1-5) and increase survey response rate from 55% to 70%.,Family survey satisfaction score and response rate,"4.0 satisfaction; 55% response rate (Spring 2024)",4.1 satisfaction; 62% response rate,4.3 satisfaction; 70% response rate,"4.1 satisfaction; 62% response rate (Fall 2024)",On Track,Tamara Williams,"1. Multilingual communication expansion; 2. ParentSquare optimization; 3. Quarterly family events (2 formal + 2 informal); 4. Parent leadership development",Fall survey showed improvement in both satisfaction and response rate. Response rate gains driven by phone-based survey option in Spanish and Somali. Satisfaction gains in communication (+0.3) and teacher relationships (+0.2). Still need improvement in welcoming environment for families of color.
8,Finance (9C),Increase fundraising revenue by 20% from $161K to $195K while diversifying revenue sources.,Total fundraising revenue,,"$142K (Jan YTD, 73.2% of goal)","$195,000","$142,800 (73.2%)",On Track,Board Finance Committee / Janet Kowalski,"1. Expand annual fund with matching gift program; 2. Grow gala revenue; 3. Apply for 4+ new grants; 4. Launch corporate partnership program",Strong progress. Gala exceeded target. Annual fund on pace. Grant pipeline is active with 2 grants pending and 4 more planned for spring. Corporate matching program is new this year and showing promise.
9,Operations (8A),Formalize technology refresh cycle and replace all devices older than 4 years.,% of student devices less than 4 years old,72% (Aug 2024),80%,90%,76%,Below Target,Kevin Park (Tech Specialist),"1. Replace 30 iPad 8th Gen units; 2. Budget for Chromebook refresh cycle; 3. Inventory management system implementation; 4. Secure E-Rate and Title IV funding",iPad replacement order placed but delayed due to procurement timeline. Expected delivery February. Once received this will jump to ~83%. Chromebook refresh budgeted for summer 2025. Inventory tracking improved with new spreadsheet system but need proper asset management tool.
10,Leadership (5D),Complete mid-cycle strategic plan review with updated metrics and community input.,Strategic plan review completed with stakeholder input,N/A - process goal,Stakeholder input gathered,Review document completed and board-approved,Stakeholder input 60% complete,On Track,Dr. Rivera / Board,"1. Staff strategic plan review sessions (Aug and Jan PD); 2. Family focus groups; 3. Student focus groups; 4. Board retreat review; 5. Data analysis against strategic plan benchmarks",Staff reviewed strategic plan in August PD and January mid-year session. Student focus group conducted January (middle school). Family focus groups planned for February-March in multiple languages. Board will review at March retreat. On track for May board approval of updated plan.