Incident_ID,Date,Student_Grade,Student_Gender,Student_Race_Ethnicity,Incident_Type,Location,Time_of_Day,Referring_Staff_Role,Description,Response_Action,Restorative_Practice_Used,Days_Suspended,Parent_Contacted,Counselor_Referral,Repeat_Incident
BH-001,2024-08-28,6,M,Black,Classroom Disruption,Classroom,Morning,Classroom Teacher,Student repeatedly talking out of turn and refusing to follow redirection during math class.,Teacher-student conference,Yes,0,Yes,No,No
BH-002,2024-09-03,7,M,Hispanic,Physical Altercation,Hallway,Transition,Paraprofessional,Pushing match between two students during hallway transition. No injuries reported.,Restorative circle with both students,Yes,0,Yes,Yes,No
BH-003,2024-09-05,8,F,White,Defiance/Insubordination,Classroom,Afternoon,Classroom Teacher,Student refused to put away cell phone after multiple requests and used disrespectful language toward teacher.,Office referral and parent conference,Yes,0,Yes,No,No
BH-004,2024-09-10,3,M,Black,Classroom Disruption,Classroom,Morning,Classroom Teacher,Student threw materials off desk during reading group after becoming frustrated with assignment.,Calm-down space and teacher check-in,Yes,0,Yes,Yes,No
BH-005,2024-09-15,5,M,Multiracial,Physical Altercation,Playground,Recess,Recess Monitor,Student kicked another student during soccer game dispute. Minor bruise on victim's shin.,Restorative conference and recess plan,Yes,0,Yes,Yes,No
BH-006,2024-09-18,7,F,Black,Bullying/Harassment,Cafeteria,Lunch,Cafeteria Monitor,Repeated name-calling and exclusion of peer from lunch group. Third report this month from target student's parent.,Formal bullying investigation and intervention plan,Yes,0,Yes,Yes,Yes
BH-007,2024-09-22,6,M,White,Classroom Disruption,Classroom,Morning,Classroom Teacher,Student making inappropriate noises during silent reading. Continued after teacher redirect.,Teacher-student conference and behavior chart,No,0,Yes,No,No
BH-008,2024-09-25,8,M,Hispanic,Defiance/Insubordination,Gymnasium,Afternoon,Specials Teacher,Student refused to participate in PE class and sat on bleachers using phone. Argumentative when approached.,Parent conference and phone policy review,No,0,Yes,No,No
BH-009,2024-10-01,2,F,Asian,Classroom Disruption,Classroom,Morning,Classroom Teacher,Student crying and refusing to participate after disagreement with peer during partner work.,Counselor check-in and social skills lesson,Yes,0,Yes,Yes,No
BH-010,2024-10-03,7,M,Black,Physical Altercation,Hallway,Transition,Classroom Teacher,Student shoved peer into lockers after verbal argument. No injuries. Both students upset about social media conflict from weekend.,In-school suspension and restorative conference,Yes,1,Yes,Yes,No
BH-011,2024-10-08,4,M,White,Property Damage,Classroom,Afternoon,Classroom Teacher,Student intentionally broke classroom supplies (markers and ruler) during frustration with group project.,Replacement plan and behavior support meeting,Yes,0,Yes,Yes,No
BH-012,2024-10-15,6,F,Hispanic,Bullying/Harassment,Hallway,Transition,Paraprofessional,Student making fun of peer's clothing repeatedly over multiple days. Reported by bystander.,Restorative circle and parent meeting,Yes,0,Yes,Yes,No
BH-013,2024-10-22,8,M,Black,Defiance/Insubordination,Classroom,Morning,Classroom Teacher,Student walked out of classroom without permission after disagreement about grade on assignment.,De-escalation with counselor and teacher conference,Yes,0,Yes,Yes,Yes
BH-014,2024-10-28,5,F,White,Classroom Disruption,Classroom,Afternoon,Classroom Teacher,Passing notes with inappropriate content during science class. Continued after initial warning.,Teacher-student conference and parent notification,No,0,Yes,No,No
BH-015,2024-11-04,7,M,Multiracial,Physical Altercation,Playground,Recess,Recess Monitor,Fight between three students during basketball game. One student received minor scrape. All students escalated quickly.,1-day out of school suspension for initiator; restorative conference for all,Yes,1,Yes,Yes,No
BH-016,2024-11-07,3,F,Black,Classroom Disruption,Classroom,Morning,Classroom Teacher,Student screaming and crying after losing turn in classroom game. Took 20 minutes to de-escalate.,Counselor support and behavior intervention plan discussion,Yes,0,Yes,Yes,Yes
BH-017,2024-11-12,6,M,Hispanic,Technology Misuse,Computer Lab,Afternoon,Technology Specialist,Student accessing inappropriate websites during computer class. Attempted to clear browser history.,Technology privilege restriction and parent conference,No,0,Yes,No,No
BH-018,2024-11-18,8,F,Asian,Academic Dishonesty,Classroom,Morning,Classroom Teacher,Student caught sharing answers during science test via notes passed to peer.,Zero on assessment and academic integrity conversation,No,0,Yes,No,No
BH-019,2024-11-25,1,M,White,Physical Altercation,Classroom,Morning,Classroom Teacher,Student bit peer during carpet time disagreement. Skin not broken.,Parent conference and behavior support plan,Yes,0,Yes,Yes,No
BH-020,2024-12-02,7,M,Black,Defiance/Insubordination,Classroom,Afternoon,Classroom Teacher,Student refused to complete work and put head down. When asked to step into hall for conversation used profanity.,Office referral and restorative conference,Yes,0,Yes,Yes,Yes
BH-021,2024-12-09,5,M,Hispanic,Bullying/Harassment,Cafeteria,Lunch,Cafeteria Monitor,Student making racist comments to peer about food brought from home. Peer was visibly upset.,Formal investigation; family meeting; anti-bias lesson for class,Yes,0,Yes,Yes,No
BH-022,2024-12-16,4,F,Black,Classroom Disruption,Classroom,Morning,Classroom Teacher,Student repeatedly out of seat and distracting peers during independent work time.,Seating change and behavior chart with incentives,No,0,Yes,No,No
BH-023,2025-01-07,8,M,White,Physical Altercation,Hallway,After School,Classroom Teacher,Two students in physical fight after school near pickup area. One student had bloody nose.,2-day out of school suspension for both; mandatory family conference,Yes,2,Yes,Yes,No
BH-024,2025-01-13,6,F,Multiracial,Bullying/Harassment,Classroom,Morning,Classroom Teacher,Cyberbullying reported - student created fake social media account mocking peer. Screenshots provided by parent.,Technology restriction; restorative process; ongoing counseling,Yes,0,Yes,Yes,No
BH-025,2025-01-21,3,M,Hispanic,Classroom Disruption,Classroom,Afternoon,Classroom Teacher,Student throwing small objects (erasers) at peers during writing time. Hit one student in the eye (no injury).,Behavior support plan revision and parent meeting,Yes,0,Yes,Yes,Yes
BH-026,2025-01-27,7,F,Black,Defiance/Insubordination,Classroom,Morning,Classroom Teacher,Student refused to remove headphones and participate in class discussion. Escalated to yelling when teacher collected headphones.,De-escalation with counselor; belongings policy review,Yes,0,Yes,Yes,No
BH-027,2025-02-03,5,M,White,Property Damage,Bathroom,Transition,Custodial Staff,Graffiti found in boys bathroom. Student identified through witness accounts.,Cleaning restitution and parent conference,No,0,Yes,No,No
BH-028,2025-02-10,8,M,Hispanic,Defiance/Insubordination,Classroom,Afternoon,Classroom Teacher,Student consistently arriving late to class (4th time this month) and disrupting instruction upon entry.,Attendance intervention and schedule review,No,0,Yes,No,Yes
BH-029,2025-02-18,2,M,Black,Physical Altercation,Playground,Recess,Recess Monitor,Student pushed peer off playground equipment after argument over turns. Peer scraped knee.,Restorative conversation and recess buddy system,Yes,0,Yes,Yes,No
BH-030,2025-02-24,6,M,Asian,Classroom Disruption,Classroom,Morning,Classroom Teacher,Student making disruptive sounds and gestures to make classmates laugh during lesson. Continued after warnings.,Teacher-student conference and parent notification,No,0,Yes,No,No
BH-031,2025-03-03,7,M,Black,Physical Altercation,Cafeteria,Lunch,Cafeteria Monitor,Student threw food at peer group. Escalated to shoving when confronted. Multiple students involved.,1-day ISS for primary student; restorative lunch group,Yes,1,Yes,Yes,No
BH-032,2025-03-10,4,F,Hispanic,Bullying/Harassment,Classroom,Afternoon,Classroom Teacher,Student spreading rumors about peer and organizing exclusion from recess games. Pattern reported by multiple students.,Friendship mediation and class community circle,Yes,0,Yes,Yes,No
BH-033,2025-03-17,8,F,White,Academic Dishonesty,Classroom,Morning,Classroom Teacher,Student used AI chatbot to complete entire essay assignment. Admitted when confronted with evidence.,Redo assignment; academic integrity lesson for class,No,0,Yes,No,No
BH-034,2025-03-24,1,M,Multiracial,Classroom Disruption,Classroom,Morning,Classroom Teacher,Student running around classroom and climbing on furniture. Not responding to verbal redirections.,Safety plan and OT referral discussion with family,Yes,0,Yes,Yes,Yes
BH-035,2025-04-07,6,M,Black,Defiance/Insubordination,Classroom,Afternoon,Classroom Teacher,Student crumpled up test paper and threw it in recycling saying the test was stupid. Refused to retrieve it.,Restorative conversation and assessment retake opportunity,Yes,0,Yes,No,No
BH-036,2025-04-14,7,F,Hispanic,Bullying/Harassment,Hallway,Transition,Paraprofessional,Student body-shaming peer in hallway. Multiple witnesses. Target student went to nurse feeling sick.,Formal bullying report; counseling for both; parent meetings,Yes,0,Yes,Yes,No
BH-037,2025-04-21,5,M,White,Classroom Disruption,Classroom,Morning,Classroom Teacher,Student repeatedly tapping desk and humming during standardized testing. Distracting to nearby students.,Alternate testing location arranged; sensory tools provided,No,0,Yes,No,No
BH-038,2025-04-28,3,M,Black,Physical Altercation,Playground,Recess,Recess Monitor,Student hit peer with jump rope during recess disagreement. Red mark on peer's arm.,Restorative conference and structured recess plan,Yes,0,Yes,Yes,Yes
BH-039,2025-05-05,8,M,Hispanic,Defiance/Insubordination,Classroom,Afternoon,Classroom Teacher,End of year senioritis - student sleeping in class daily and refusing to engage. Third referral this quarter.,Family meeting; credit recovery plan; counselor check-ins,No,0,Yes,Yes,Yes
BH-040,2025-05-12,6,F,Asian,Classroom Disruption,Classroom,Morning,Classroom Teacher,Student having emotional breakdown during class related to peer conflict. Crying and unable to participate for extended period.,Counselor support and peer mediation scheduled,Yes,0,Yes,Yes,No